local_datetime,site_id,num_days,meter_cost,demand_rate,kW,demand_cost,value,energy_cost,avg_energy_rate,total_cost
2011-12-31,103,1,4.59959,10.4355,151.8884,1585.0313981999998,582.6330000000003,81.80167320000004,0.14039999999999989,1671.4326614
2011-12-31,109,1,4.59959,10.4355,76.2748,795.9656753999999,353.89000000000004,49.68615600000004,0.14039999999999986,850.2514213999999
2011-12-31,111,1,4.59959,10.4355,99.55199999999999,1038.8748959999998,366.8687999999999,51.50837951999998,0.14039999999999989,1094.9828655199997
2011-12-31,116,1,4.59959,10.4355,139.332,1453.9990859999998,671.1157999999996,94.22465832000005,0.14039999999999986,1552.82333432
2011-12-31,136,1,4.59959,10.4355,34.242399999999996,357.33656519999994,117.00119999999998,16.42696848,0.14039999999999989,378.36312367999994
2011-12-31,137,1,4.59959,10.4355,70.01400000000001,730.6310970000001,264.06000000000006,37.07402399999998,0.14039999999999989,772.304711
2011-12-31,144,1,4.59959,10.4355,37.4188,390.48388739999996,106.01920000000005,14.885095680000004,0.14039999999999989,409.96857307999994
2011-12-31,153,1,4.59959,10.4355,31.564799999999998,329.39447039999993,123.6287999999999,17.357483519999985,0.14039999999999989,351.3515439199999
2011-12-31,186,1,4.59959,10.4355,76.3596,796.8506057999999,289.984,40.71375360000001,0.14039999999999989,842.1639494
2011-12-31,197,1,4.59959,10.4355,51.7416,539.9494668,195.26240000000013,27.41484095999999,0.14039999999999989,571.96389776
2011-12-31,213,1,4.59959,10.4355,61.2156,638.8153937999999,280.3717,39.364186679999996,0.1403999999999998,682.77917048
2011-12-31,214,1,4.59959,10.4355,41.3768,431.7875964,186.98040000000006,26.252048159999994,0.14039999999999986,462.63923456
2011-12-31,217,1,4.59959,10.4355,58.8756,614.3963237999999,225.5151999999999,31.662334079999983,0.14039999999999989,650.6582478799999
2011-12-31,218,1,4.59959,10.4355,120.3268,1255.6703214,532.2141,74.72285963999994,0.14039999999999986,1334.9927710399998
